S_OBJECTID,S_STATIONID,S_NAME_E,S_LAT,S_LON,E_STATIONID,E_STATIONID,E_NAME_E,E_LAT,E_LON
99,CM3,CHIANG MAI 3,18.71735,98.94239,,,,,
100,CR,CHIANG RAI,19.85172,99.85448,,,,,
101,CTG,CHOM THONG,18.43876,98.68937,,,,,
102,DBN,DOEBANG NANGBUAT,14.80407,100.12589,,,,,
103,FA,FANG,19.96475,99.1554,,,,,
104,KP,KAMPHAENGPHET,16.5056,99.48431,,,,,
105,LP1,LAMPANG 1,18.24879,99.45178,,,,,
106,LP2,LAMPANG 2,18.3585,99.56898,,,,,
107,LN1,LAMPHUN 1,18.63264,99.04044,,,,,
108,LN2,LAMPHUN 2,18.65264,99.05266,,,,,
109,LKB,LAN KRABU,16.63087,99.87342,,,,,
110,LS,LOM SAK,16.76116,101.22103,,,,,
111,MH,MAE HONG SON,19.18341,97.98445,,,,,
112,MM2,MAE MOH 2,18.31629,99.7248,,,,,
113,MM3,MAE MOH 3,18.2999,99.74896,,,,,
114,MMM,MAE MOH MINE,18.34406,99.70008,,,,,
115,MNG,MAE NGAT,19.16259,99.03543,,,,,
116,MS,MAE SOT,16.71862,98.5983,,,,,
117,MR,MANOROM,15.30015,100.1048,,,,,
118,NS,NAKHON SAWAN,15.70651,100.1023,,,,,
119,NA,NAN,18.74071,100.75522,,,,,
120,PY,PHAYAO,19.21538,99.86865,,,,,
121,PE,PHETCHABUN,16.3373,101.0855,,,,,
122,PC,PHICHIT,16.46228,100.38503,,,,,
123,PL1,PHITSANULOK 1,16.83669,100.23837,,,,,
124,PL2,PHITSANULOK 2,16.9378,100.15644,,,,,
125,PR,PHRAE,18.11742,100.13975,,,,,
126,SLB,SALOKBAT,15.98203,99.78928,,,,,
127,SKP,SAN KAMPHAENG,18.79207,99.24374,,,,,
128,SL,SAWAN KHALOK,17.33998,99.89563,,,,,
129,SK,SIRIKIT,17.76079,100.56415,,,,,
130,ST,SUKHOTHAI,17.03417,99.82509,,,,,
131,TA1,TAK 1,16.88417,99.13184,,,,,
132,TA2,TAK 2,16.80918,99.14129,,,,,
133,TTK,THA TAKO,15.60402,100.43059,,,,,
134,TE,THOEN,17.6255,99.23821,,,,,
135,THG,THOENG,19.73673,100.22804,,,,,
136,UT,UTTARADIT,17.60857,100.08143,,,,,
137,BDN,BAN DON,9.08839,99.33997,,,,,
138,BST,BAN SANTI,6.14013,101.29612,,,,,
139,BLG1,BANG LANG1,6.16083,101.26781,,,,,
140,BLG2,BANG LANG2,6.1575,101.27059,,,,,
141,CP,CHUM PHON,10.50356,99.11471,,,,,
142,HY1,HAT YAI 1,6.99744,100.42986,,,,,
143,HY2,HAT YAI 2,6.96827,100.48818,,,,,
144,KN,KHANOM,9.23412,99.85861,,,,,
145,KNE,KHLONG NGAE,6.71678,100.45204,,,,,
146,KA1,KRABI1,7.99041,99.04863,,,,,
147,KA2,KRABI2,7.99486,99.04418,,,,,
148,LR,LAMPOORA,7.69405,99.58801,,,,,
149,LSN,LANG SUAN,10.01655,99.06313,,,,,
150,NT,NAKHON SI THAMMARAT,8.40122,99.96296,,,,,
151,NW,NARATHIWAT,6.42221,101.78664,,,,,
152,PTN,PATTANI,6.84634,101.26281,,,,,
153,PN,PHANGNGA,8.51776,98.51567,,,,,
154,PU,PHATTHALUNG,7.60045,100.0249,,,,,
155,PK1,PHUKET 1,7.91902,98.38982,,,,,
177,CHK,CHONG KLAM,13.96889,102.28733,,,,,
156,PK2,PHUKET 2,7.86181,98.33955,,,,,
178,TR,TRAT,12.28125,102.49094,,,,,
157,PP,PHUNPHIN,9.087,99.25526,,,,,
158,RPB,RAJJAPRABHA,8.97062,98.8042,,,,,
159,RN,RANONG,9.74417,98.59145,,,,,
160,RA,RANOT,7.81738,100.35347,,,,,
161,SDO,SADAO,6.63286,100.40206,,,,,
162,STU,SATUN,6.68589,100.07073,,,,,
163,SKL,SONG KHLA,7.11826,100.56595,,,,,
164,SUK,SUNGAI KOLOK,6.02529,101.91246,,,,,
165,SRT,SURAT THANI,9.0745,99.22082,,,,,
166,TP,TAKUA PA,8.84368,98.3551,,,,,
167,TS,THUNG SONG,8.13099,99.66952,,,,,
168,YL1,YALA1,6.50025,101.26059,,,,,
169,YL2,YALA2,6.4772,101.26503,,,,,
170,SPP,SOP PRAP,17.93659,99.34985,,,,,
171,TM,THA MUANG,13.97608,99.62822,,,,,
172,BKI,BANKHAI,12.78619,101.24914,,,,,
173,MCN,MAE CHAN,20.19891,99.91863,,,,,
174,PD,PLUAK DAENG,12.98909,101.19182,83,WN,WANG NOI,14.22969,100.77862
175,SMP,SI MAHAPHOT,13.93055,101.58492,,,,,
176,CT,CHANTHABURI,12.66566,102.11654,,,,,
177,CHK,CHONG KLAM,13.96889,102.28733,,,,,
178,TR,TRAT,12.28125,102.49094,,,,,
179,WNK,WATTHANA NAKHON,13.76835,102.24178,,,,,
180,AN,AMNAT CHAROEN,15.80879,104.63146,,,,,
181,BPI,BAN PHAI,16.08013,102.72447,,,,,
182,BKN,BUNG KAN,18.31803,103.6357,,,,,
183,BR,BURI RAM,15.02411,103.10694,,,,,
184,CYP,CHAIYAPHUM,15.82819,102.08871,,,,,
185,CPA,CHUM PHAE,16.56064,102.06398,,,,,
186,KL,KALASIN,16.37956,103.5488,,,,,
187,KTL,KANTHARALAK,14.72721,104.66287,,,,,
188,KK1,KHON KAEN 1,16.41205,102.81778,,,,,
189,KK2,KHON KAEN 2,16.4176,102.87361,,,,,
190,KK3,KHON KAEN 3,16.41583,102.74655,,,,,
191,KNG,KONG,15.29824,102.41729,,,,,
192,MK,MAHA SARAKHAM,16.18208,103.31467,,,,,
193,MD1,MUKDAHAN 1,16.54291,104.69588,,,,,
194,MD2,MUKDAHAN 2,16.60957,104.70394,,,,,
195,NN,NAKHON PRANOM,17.38368,104.7578,,,,,
196,NR1,NAKHON RATCHASIMA 1,14.99437,102.10206,,,,,
197,NR2,NAKHON RATCHASIMA 2,14.95076,102.02179,,,,,
198,NPO1,NAM PHONG 1,16.67453,102.79445,,,,,
199,NPO2,NAM PHONG 2,16.68064,102.74306,,,,,
200,NP69,NAM PUNG69,16.97453,103.98624,,,,,
201,NP11,NAM PUNG115,16.97869,103.97124,,,,,
202,NBL,NONG BUA LAM PHU,17.23003,102.40393,,,,,
203,NH,NONG HAN,17.36031,103.20577,,,,,
204,NK,NONG KHAI,17.82194,102.75693,,,,,
205,PMN,PAK MUN,15.28218,105.4647,,,,,
206,PHK,PHANG KHON,17.36921,103.7121,,,,,
